FIPS,Attribute_x,Value_x,Attribute_y,Value_y,Attribute,Value
01119,ForeignBornPct,0.953372857,NumCivEmployed,4376.0,Median_HH_Inc_ACS,27099.0
01121,ForeignBornPct,1.879047037,NumCivEmployed,32329.0,Median_HH_Inc_ACS,45400.0
01123,ForeignBornPct,1.75128379,NumCivEmployed,15839.0,Median_HH_Inc_ACS,50652.0
01125,ForeignBornPct,3.530777646,NumCivEmployed,105665.0,Median_HH_Inc_ACS,57508.0
01127,ForeignBornPct,1.277724944,NumCivEmployed,25516.0,Median_HH_Inc_ACS,47442.0
01129,ForeignBornPct,0.513676641,NumCivEmployed,5326.0,Median_HH_Inc_ACS,44512.0
01131,ForeignBornPct,0.336889388,NumCivEmployed,3126.0,Median_HH_Inc_ACS,36385.0
01133,ForeignBornPct,1.725158562,NumCivEmployed,9533.0,Median_HH_Inc_ACS,46096.0
02000,ForeignBornPct,7.87076857,NumCivEmployed,338664.0,Median_HH_Inc_ACS,80287.0
02013,ForeignBornPct,24.69932532,NumCivEmployed,2213.0,Median_HH_Inc_ACS,72258.0
02016,ForeignBornPct,45.30565607,NumCivEmployed,3655.0,Median_HH_Inc_ACS,90708.0
02020,ForeignBornPct,11.00890461,NumCivEmployed,144598.0,Median_HH_Inc_ACS,88871.0
02050,ForeignBornPct,2.290158799,NumCivEmployed,6454.0,Median_HH_Inc_ACS,57460.0
02060,ForeignBornPct,7.89163722,NumCivEmployed,443.0,Median_HH_Inc_ACS,81563.0
02063,ForeignBornPct,8.838203849,NumCivEmployed,3429.0,Median_HH_Inc_ACS,87868.0
02066,ForeignBornPct,1.442125237,NumCivEmployed,1090.0,Median_HH_Inc_ACS,67439.0
02068,ForeignBornPct,8.77914952,NumCivEmployed,1509.0,Median_HH_Inc_ACS,78750.0
02070,ForeignBornPct,2.531128802,NumCivEmployed,1865.0,Median_HH_Inc_ACS,62115.0
02090,ForeignBornPct,5.140557288,NumCivEmployed,42297.0,Median_HH_Inc_ACS,78321.0
02100,ForeignBornPct,6.244041945,NumCivEmployed,882.0,Median_HH_Inc_ACS,63355.0
02105,ForeignBornPct,2.492479588,NumCivEmployed,1125.0,Median_HH_Inc_ACS,55990.0
02110,ForeignBornPct,8.88337469,NumCivEmployed,16350.0,Median_HH_Inc_ACS,90126.0
02122,ForeignBornPct,3.225971283,NumCivEmployed,24679.0,Median_HH_Inc_ACS,70609.0
02130,ForeignBornPct,8.716550685,NumCivEmployed,6984.0,Median_HH_Inc_ACS,77820.0
02150,ForeignBornPct,18.86064458,NumCivEmployed,6223.0,Median_HH_Inc_ACS,83765.0
02158,ForeignBornPct,0.287287527,NumCivEmployed,2260.0,Median_HH_Inc_ACS,37975.0
02164,ForeignBornPct,5.578093306,NumCivEmployed,437.0,Median_HH_Inc_ACS,49688.0
02170,ForeignBornPct,3.574672072,NumCivEmployed,44663.0,Median_HH_Inc_ACS,79300.0
02180,ForeignBornPct,1.658391261,NumCivEmployed,3643.0,Median_HH_Inc_ACS,63977.0
